Nom;Nom alternatiu;Tipus;Continent;Unitat de relleu;País;Cimera;Regió;Altitud;Classificació per alçada;Latitud;Longitud;Descripció;Keywords;
Abadías;;pico;Europa;Pirineos;España;;;3.279 m;tres mil;;;Pico de 3.279 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Abeillé;;pico;Europa;Pirineos;España;;;3.029 m;tres mil;;;Pico de 3.029 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Abi Gamin;;pico;Asia;Himalaya;India, Tíbet;;;7.355 m;set mil;;;Pico de 7.355 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Abune Yosef;;pico;África;Tierras altas de Etiopía;Etiopía;;;4.260 m;quatre mil;;;Pico de 4.260 m de altura sobre el nivel del mar, situado en las Tierras altas de Etiopía.;Pico,altura,Tierras;
Abuyemeda;;pico;África;Tierras altas de Etiopía;Etiopía;;;4.012 m;quatre mil;;;Pico de 4.012 m de altura sobre el nivel del mar, situado en las Tierras altas de Etiopía.;Pico,altura,Tierras;
Aconcagua;;cerro;América del Sur;Andes;Argentina;;Mendoza;6.962 m;sis mil;32° 39' S;70° 01' O;Cumbre más alta de toda la cordillera de los Andes y del continente de América, con 6.962 m de altitud sobre el nivel de mar, según estimaciones de 2001. Se yergue íntegramente dentro de territorio argentino, en la provincia de Mendoza. Al norte y al este limita con el valle de las Vacas, y al oeste y al sur con el valle de los Horcones inferior. En la región se encuentran diversos glaciares, de los cuales los más importantes son el glaciar nororiental o de los Polacos y el del este o Inglés. Pertenece al parque provincial Aconcagua, y es una montaña muy frecuentada por alpinistas de todo el mundo, debido a su significado dentro del alpinismo (es uno de los seven submits y a una vías normal de relativa escasa dificultad técnica. Sin embargo, la pared sur contiene vías de escalada que constituyen un hito en el mundo del alpinismo. Su relieve y sus incomparables paisajes ofrecen la posibililidad de realizar una variada gama de actividades turísticas en cualquier época del año, como trekking, alpinismo, esquí, termas, rafting, pesca deportiva y windsurf, entre otras.;Cumbre,cordillera,Andes,continente,altitud,valle,región,glaciares,Polacos,alpinistas,alpinismo,vías,normal,dificultad,pared,escalada,hito,paisajes,trekking,rafting,deportiva;
Acotango;;volcán;América del Sur;Andes;Bolivia, Chile;;Departamento de Oruro/Región de Arica y Parinacota;6.052 m;sis mil;;;El volcán Acotango, con sus poco más de  seis mil metros de altitud sobre el nivel del mar, se encuentra dentro de los límites del Parque Nacional Lauca, en concreto al sur del paso internacional Tambo Quemado, principal vía de comunicación entre Arica y La Paz. Junto con el Umarata (5.749 m) y el Capurata (5.996 m), situados al norte y al sur del volcán Acotango, respectivamente, conforman los nevados de Quimsachata (tres montañas en aymara). Se trata de un cordón andino de gran altitud que se eleva al este del volcán Guallatiri (6063m), justo en el límite fronterizo entre Chile y Bolivia.;volcán,altitud,paso,Quemado,vía,Capurata,nevados,nevados,cordón,Guallatiri;
Aitzkorri;;pico;Europa;Montes Vascos;España;;País Vasco;1.544 m;mil;;;Pico de 1.544 m de altura sobre el nivel del mar, situado en los Montes Vascos.;Pico,altura,Montes;
Ajusco;;volcán;América del Norte;Cordillera Neovolcánica;México;;Distrito Federal;3.930 m;tres mil;;;También conocido como Malacatépetl, se encuentra en el Distrito Federal (México), en la cordillera Neovolcánica. Desde su cumbre se tiene una amplia vista de la ciudad y de los volcanes Popocatépetl e Iztaccíhuatl, así como del Nevado de Toluca.;cordillera,cumbre,Popocatépetl,Iztaccíhuatl,Nevado,Nevado;
Aktua;;pico;Asia;Tian Shan;Kirguistán;;;6.181 m;sis mil;;;Pico de 6.181 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
Alberdi;;cerro;América del Sur;Alturas Rivadavia;Islas Malvinas;;Isla Soledad;705 m;menor de 1000;51° 41' 50'' S;58° 50' 04'' O;Montaña más alta de las islas Malvinas, ubicado en la isla Soledad, en la cadena montañosa de las Alturas Rivadavia. También conocido como Mount Usborne, en inglés (por tratarse de territorio ocupado por Gran Bretaña) fue  Charles Darwin quien hizo mención por primera vez del cerro Alberdi en el capítulo 9 de Zoology of the Voyage of the Beagle. Afectado por la última glaciación, son visibles los restos de un circo glaciar en el cerro.;Montaña,cadena,montañosa,Alturas,primera,cerro,glaciación,circo,glaciar;
Albert;;pico;África;Montañas Ruwenzori;República Democrática del Congo, Uganda;;Monte Stanley;5.088 m;cinc mil;;;Pico de 5.088 m de altura sobre el nivel del mar, perteneciente al monte Stanley, en las montañas Ruwenzori.;Pico,altura,monte,Stanley;
Alexandra;;pico;África;Montañas Ruwenzori;República Democrática del Congo, Uganda;;Monte Stanley;5.092 m;cinc mil;;;Pico de 5.092 m de altura sobre el nivel del mar, perteneciente al monte Stanley, en las montañas Ruwenzori.;Pico,altura,monte,Stanley;
Algas;;pico;Europa;Pirineos;España;;;3.036 m;tres mil;;;Pico de 3.036 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Algas Norte;;pico;Europa;Pirineos;España;;;3.032 m;tres mil;;;Pico de 3.032 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Alma Negra;;cerro;América del Sur;Andes;Argentina;;Andes centrales;6.120 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Almanzor;;pico;Europa;Sistema Central;España;;;2.591 m;dos mil;;;Pico de 2.591 m sobre el nivel del mar, el más alto del Sistema Central y de la Sierra de Gredos, en España.;Pico,alto,Sistema Central,Sierra de Gredos;
Alpamayo;;cerro;América del Sur;Andes;Perú;;Cordillera Blanca;5.947 m;cinc mil;;;Montaña de la cordillera de los Andes, en el departamento de Ancash (Perú).;Montaña,cordillera,Andes;
Alto;;cerro;América del Sur;Andes;Argentina, Chile;;Andes centrales;6.148 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Alto de Peña Negra;;pico;Europa;Montes de León;España;;Castilla y León;2.124 m;dos mil;;;Pico de 2.124 m de altura sobre el nivel del mar, situado en los Montes de León.;Pico,altura,Montes;
Alto Tapanco;;cerro;América del Norte;Sierra Madre Occidental;México;;Sinaloa;2.955 m;dos mil;;;Montaña más alta del estado de Sinaloa (México).;Montaña;
Alto Toroni;;cerro;América del Sur;Andes;Chile;;;5.982 m;cinc mil;;;Montaña de la cordillera de los Andes, en la Región de Tarapacá (Chile).;Montaña,cordillera,Andes,Región;
Alumbres;;cerro;América del Norte;Corredor ecológico Ajusco-Chichinautzin;México;;México;3.510 m;tres mil;;;Montaña situada dentro del parque nacional Lagunas de Zempoala, en México. ;Lagunas,Zempoala;
Amba Farit;;pico;África;Tierras altas de Etiopía;Etiopía;;;4.270 m;quatre mil;;;Pico de 4.270 m de altura sobre el nivel del mar, situado en las Tierras altas de Etiopía.;Pico,altura,Tierras;
Ampato;;nevado;América del Sur;Andes;Perú;;Andes peruanos;6.288 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Ancohuma;;nevado;América del Sur;Andes;Bolivia;;Andes bolivianos;6.427 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
